hour,day_of_week,day,temperature,rain,fog,activity_index,visibility,lighting_level,safety_risk
2,1,1,7.4427210926530725,0,0,0.5638743815134658,0,1.0,1.0556152075215897
3,1,1,7.80958182019803,0,0,0.46989294431723033,0,1.0,0.9921777374141306
4,1,1,8.193711193890593,0,0,0.35404831582429136,0,1.0,0.9139826131813967
5,1,1,10.683824560155863,0,0,0.7162330686913834,0,1.0,1.0726456679321146
6,1,1,11.82054894700567,0,0,0.3529728211579602,0,1.0,0.8456080132237251
7,1,1,11.862922238462001,1,0,0.4012363087743734,0,1.0,0.7706799698259055
8,1,1,11.642604892457085,1,0,0.2389100326147839,0,1.0,0.619455016307392
9,1,1,11.198146491206355,1,0,0.43771017458072675,0,1.0,0.7188550872903634
10,1,1,11.754752843422757,1,0,0.3807269450605122,1,1.0,0.5403634725302562
11,1,1,12.673501917759454,1,0,0.5205403885724964,1,1.0,0.6102701942862483
12,1,1,14.522678323980909,1,0,0.4658231015919554,1,1.0,0.5829115507959777
13,1,1,14.82529550341475,1,0,0.34031547750681435,2,1.0,0.3701577387534072
14,1,1,12.241941922237482,1,0,0.28328000100641865,2,1.0,0.3416400005032093
15,1,1,11.7968162355247,1,0,0.32245173558159024,2,1.0,0.36122586779079513
16,1,1,10.44334592410511,1,0,0.5074546138427056,1,1.0,0.6037273069213529
17,1,1,9.959391732344642,1,0,0.5299558103053473,1,1.0,0.6149779051526736
18,1,1,11.380756881130862,0,0,0.510283053707889,2,1.0,0.4551415268539445
19,1,1,9.368279857820887,0,0,0.7954058658396337,1,1.0,0.8224732262117985
20,1,1,8.562185685991624,0,0,0.3872431628431388,1,1.0,0.6251648186348049
21,1,1,3.2112813481620783,1,0,0.2241241391083135,0,1.0,0.6120620695541568
22,1,1,6.372602804444066,1,0,0.2165828637324169,0,1.0,0.7603642898327606
23,1,1,3.1343145345751444,1,0,0.3163412914681675,0,1.0,0.8227133071676046
0,2,2,3.8898574232750414,1,0,0.2,0,1.0,0.8100000000000002
1,2,2,4.9807238164028345,1,0,0.2253251556802086,0,1.0,0.8270944800841408
2,2,2,3.9041571755969424,1,0,0.20415704289525002,0,1.0,0.8128060039542938
3,2,2,4.580393520361203,1,0,0.2,0,1.0,0.8100000000000002
4,2,2,5.67239412019689,1,0,0.31852445452575046,0,1.0,0.8900040068048816
5,2,2,14.205704918071547,0,0,0.78530143640704,0,1.0,1.1158133977543998
6,2,2,13.103016111420262,0,0,0.5315636330804329,0,1.0,0.9572272706752705
7,2,2,15.149838689150123,0,0,0.7125299917964321,1,1.0,0.7768914954880378
8,2,2,16.26066530649614,0,0,0.4941181592712655,1,1.0,0.5970590796356328
9,2,2,16.369339725701135,0,0,0.841540129213479,1,1.0,0.7707700646067395
10,2,2,19.634352313423037,0,0,1.0,2,1.0,0.7
11,2,2,19.84286506662257,0,0,0.8161708002043863,2,1.0,0.6080854001021931
12,2,2,20.08640902324443,0,0,0.9528225256021094,2,1.0,0.6764112628010548
13,2,2,18.181544579141054,0,0,0.5361407899325195,2,1.0,0.46807039496625974
14,2,2,19.894323809844114,0,0,0.6378285303720157,2,1.0,0.5189142651860079
15,2,2,16.136166700528385,0,0,0.7925605525203575,2,1.0,0.5962802762601788
16,2,2,12.411414907607083,1,0,0.36553160559458525,2,1.0,0.38276580279729266
17,2,2,12.342383303414447,1,0,0.4663764439698804,1,1.0,0.5831882219849402
18,2,2,8.645504837895581,1,0,0.290599025993892,1,1.0,0.495299512996946
19,2,2,6.7393907130124635,1,0,0.2,0,1.0,0.6600000000000001
20,2,2,7.2429005261157275,1,0,0.4325594484041214,1,1.0,0.6512216828323698
21,2,2,8.549260734965904,0,0,0.44109190178928714,1,1.0,0.5705459508946435
22,2,2,6.5485612224286225,0,0,0.640137935904842,1,1.0,0.8375862099405262
23,2,2,7.568385093273002,0,0,0.632446911261924,0,1.0,1.0202793195387025
0,3,3,3.984952414652831,1,0,0.2,0,1.0,0.8100000000000002
1,3,3,4.757590591549328,1,0,0.26021631048660643,0,1.0,0.8506460095784594
2,3,3,6.253299884358233,1,0,0.2,0,1.0,0.8100000000000002
3,3,3,9.183654191841065,1,0,0.23367005102643593,0,1.0,0.8327272844428444
4,3,3,7.822664288549557,1,0,0.21061555957110428,0,1.0,0.8171655027104955
5,3,3,10.757037464935095,1,0,0.3899349394161581,0,1.0,0.8687093371350987
6,3,3,15.859576930185721,0,0,0.7420544627888569,1,1.0,0.9012840392430355
7,3,3,15.36810966699722,0,0,0.4439604261207855,1,1.0,0.6291782343664322
8,3,3,18.27351964742018,0,0,1.0,1,1.0,0.8500000000000001
9,3,3,20.59584315421776,0,0,0.7159502659939707,1,1.0,0.7079751329969854
10,3,3,16.391613069566286,1,0,0.6460878183260871,1,1.0,0.6730439091630436
11,3,3,16.53707993011789,1,0,0.40170859863432273,1,1.0,0.5508542993171615
12,3,3,16.375559388581713,1,0,0.3778193237786577,1,1.0,0.5389096618893288
13,3,3,18.409262350838794,1,0,0.38714312070627843,1,1.0,0.5435715603531392
14,3,3,19.0052614246446,0,0,0.6544638938226949,2,1.0,0.5272319469113474
15,3,3,17.96824378685106,0,0,1.0,2,1.0,0.7
16,3,3,16.305051769848987,1,0,0.35567439964772696,1,1.0,0.5278371998238636
17,3,3,14.698523374592632,1,0,0.36640019200392976,1,1.0,0.5332000960019649
18,3,3,10.622597944081033,1,0,0.3523424748509216,1,1.0,0.5261712374254608
19,3,3,10.448150902514865,1,0,0.2649464259194793,0,1.0,0.6957205342557137
20,3,3,11.366034991237562,0,0,0.9591056000087088,1,1.0,0.9539857200050075
21,3,3,11.03567272285777,0,0,0.3734393017568619,1,1.0,0.5367196508784309
22,3,3,7.182897813720926,1,0,0.24683123963558254,0,1.0,0.7792695247722391
23,3,3,5.106769523337075,1,0,0.3555889021982607,0,1.0,0.8472430638739128
0,4,4,4.442555477621043,1,0,0.21201252797783524,0,1.0,0.8181084563850389
1,4,4,2.7428638878078457,1,0,0.23774754031539255,0,1.0,0.83547958971289
2,4,4,1.0,1,0,0.28770568556632176,0,1.0,0.8692013377572673
3,4,4,4.1687020588815855,1,0,0.2608283028471907,0,1.0,0.8510591044218538
4,4,4,3.473050261895481,1,0,0.2168422799633861,0,1.0,0.8213685389752856
5,4,4,7.671851554977645,1,0,0.4262744578298064,0,1.0,0.891421536143629
6,4,4,8.474771194029175,1,0,0.24010422181242777,0,1.0,0.7750651386327673
7,4,4,8.264073948178625,1,0,0.3900364694651032,0,1.0,0.7645200582058067
8,4,4,15.49506937979765,0,0,0.7935871559922658,1,1.0,0.746793577996133
9,4,4,16.18711486460911,0,0,0.8446364428986223,2,1.0,0.6223182214493111
10,4,4,17.54990583325445,0,0,0.6420556826303807,2,1.0,0.5210278413151903
11,4,4,19.224041190941687,0,0,0.5342601972025276,2,1.0,0.4671300986012638
12,4,4,17.286305134550457,0,0,0.9168444411367939,2,1.0,0.6584222205683969
13,4,4,16.573512043930247,0,0,0.7051537536181873,2,1.0,0.5525768768090937
14,4,4,13.479645250378269,1,0,0.5355560569313651,2,1.0,0.46777802846568256
15,4,4,11.240595093360419,1,0,0.35999504354604084,1,1.0,0.5299975217730204
16,4,4,11.684361052209951,1,0,0.3441311369254305,1,1.0,0.5220655684627153
17,4,4,9.01347248708432,1,0,0.5055718296452689,1,1.0,0.6027859148226344
18,4,4,8.530570924482529,1,0,0.38380458132418865,1,1.0,0.5419022906620943
19,4,4,10.805962228974227,0,0,0.6698353780233419,1,1.0,0.7534094579128382
20,4,4,8.544695142431237,0,0,0.5911007887143127,1,1.0,0.7423829535107297
21,4,4,8.742586640591362,0,0,1.0,1,1.0,0.8500000000000001
22,4,4,6.070883994608741,0,0,0.6375981784984485,1,1.0,0.8359988615615301
23,4,4,8.456307459408537,0,0,0.7400996629812261,0,1.0,1.0875622893632664
0,5,5,6.157393433866645,0,0,0.3526525288751591,0,1.0,0.9130404569907326
1,5,5,4.879013571950946,0,0,0.3627914806331888,0,1.0,0.9198842494274025
2,5,5,5.2646811653338945,0,0,0.7081286014471364,0,1.0,1.1529868059768171
3,5,5,7.771557814225539,0,0,0.6270156000798048,0,1.0,1.0982355300538682
4,5,5,8.308263300775788,0,0,0.5205177431624459,0,1.0,1.0263494766346508
5,5,5,10.692812309578606,0,0,0.49829164429636674,1,1.0,0.7489322776852292
6,5,5,12.004963710675183,0,0,0.5178865729738483,1,1.0,0.7611791081086552
7,5,5,13.01181144405989,0,0,0.4591722317015936,1,1.0,0.6375447274358766
8,5,5,10.69556403764026,0,1,0.27672593664977996,0,1.0,0.6383629683248899
9,5,5,13.074518672657131,0,1,0.561909966460874,0,1.0,0.780954983230437
10,5,5,13.720667831260934,0,1,0.519130645483244,0,1.0,0.7595653227416219
11,5,5,15.836276371075208,0,1,0.5410470975537286,0,1.0,0.7705235487768642
12,5,5,15.21082216905043,0,1,0.5380448539316807,0,1.0,0.7690224269658403
13,5,5,14.466482674143148,0,1,0.622021383163641,0,1.0,0.8110106915818205
14,5,5,16.90105943465945,0,0,0.7493720608934727,2,1.0,0.5746860304467364
15,5,5,16.159684152949758,0,0,0.6068410789804596,2,1.0,0.5034205394902298
16,5,5,13.647868649900506,0,0,1.0,2,1.0,0.7
17,5,5,13.238365462662292,0,0,0.7580719089843747,2,1.0,0.5790359544921874
18,5,5,11.589934804547639,0,0,0.9020017199747973,1,1.0,0.8010008599873986
19,5,5,8.835841517655892,0,0,0.9658113344165654,2,1.0,0.7511962339291111
20,5,5,8.889513446449923,0,0,0.8294236147376682,1,1.0,0.8794185784741592
21,5,5,7.84986992535059,0,0,0.8501412268904025,1,1.0,0.7750706134452012
22,5,5,7.418624906570285,0,0,0.5921701641558674,0,1.0,0.9951063525974171
23,5,5,6.789973180402131,0,0,0.4823854897633896,0,1.0,0.9264909311021186
0,6,6,7.780756263057691,0,0,0.36053801236374083,0,1.0,0.9183631583455251
1,6,6,8.42504563336525,0,0,0.536337967166701,0,1.0,1.0370281278375233
2,6,6,7.001145007369609,1,0,0.23791770826127298,0,1.0,0.8355944530763594
3,6,6,7.040045335636582,1,0,0.2,0,1.0,0.8100000000000002
4,6,6,9.975849322458266,1,0,0.2667338811648206,0,1.0,0.8550453697862539
5,6,6,14.780143260688423,1,0,0.3100306172021856,0,1.0,0.818769135751366
6,6,6,15.72931614170795,0,0,0.45586789062904487,1,1.0,0.7224174316431531
7,6,6,17.846905541810504,0,0,0.5443188809357191,1,1.0,0.6843753845146456
8,6,6,19.112427394507986,0,0,0.6205498298957982,1,1.0,0.660274914947899
9,6,6,20.052457569439866,0,0,0.5189282784081769,1,1.0,0.6094641392040885
10,6,6,20.03930880908107,0,0,0.7446568027413888,2,1.0,0.5723284013706944
11,6,6,21.71294980924246,0,0,0.7026347126691073,2,1.0,0.5513173563345537
12,6,6,20.38560041647721,0,0,0.63343258434336,2,1.0,0.51671629217168
13,6,6,20.717161982009184,0,0,0.879801168871382,2,1.0,0.6399005844356911
14,6,6,19.869214505892312,0,0,0.9092789532601623,2,1.0,0.6546394766300812
15,6,6,19.48294045752039,0,0,0.6237958287080635,2,1.0,0.5118979143540318
16,6,6,20.47308419768829,0,0,0.6377961088196942,2,1.0,0.5188980544098472
17,6,6,14.84407470903816,0,0,0.5557808129762545,2,1.0,0.47789040648812725
18,6,6,15.844685821389296,0,0,0.714847101761757,2,1.0,0.5574235508808785
19,6,6,11.992795489210007,0,0,0.7996192181749208,1,1.0,0.8247905699962065
20,6,6,11.686493765225352,0,0,0.6963133671803383,1,1.0,0.8028801861286945
21,6,6,12.004735540862866,0,0,0.5138604036156975,1,1.0,0.6069302018078488
22,6,6,6.373400367518819,1,0,0.3341806085992456,0,1.0,0.8338628803745285
23,6,6,4.7144351567615,1,0,0.24874464643621194,0,1.0,0.7804654040226324
0,0,7,3.9727783378070507,1,0,0.25004770085388656,0,1.0,0.8437821980763733
1,0,7,5.524685297931615,1,0,0.26536678054144947,0,1.0,0.8541225768654784
2,0,7,4.774814914262352,1,0,0.25102676114193,0,1.0,0.8444430637708027
3,0,7,5.1941511747730456,1,0,0.2,0,1.0,0.8100000000000002
4,0,7,6.624738701522248,1,0,0.2399299199317924,0,1.0,0.83695269595396
5,0,7,11.330354840084876,0,0,0.23312019465082934,0,1.0,0.7707001216567683
6,0,7,15.678813547631142,0,0,0.6218567883396098,0,1.0,1.0136604927122561
7,0,7,15.721702751238952,0,0,0.912933392161207,1,1.0,0.887113365688664
8,0,7,14.50972687164821,0,0,0.7277149148943374,1,1.0,0.7138574574471688
9,0,7,17.96396446019453,0,0,0.9232468306256494,1,1.0,0.8116234153128248
10,0,7,18.069235416244062,0,0,0.5458494358058533,2,1.0,0.4729247179029267
11,0,7,20.18285775083645,0,0,0.6946644557745026,2,1.0,0.5473322278872513
12,0,7,18.742348719873117,0,0,0.9819518572229167,2,1.0,0.6909759286114583
13,0,7,14.71843642434257,1,0,0.46549937486994,1,1.0,0.58274968743497
14,0,7,14.309590075050842,1,0,0.3282239443282271,1,1.0,0.5141119721641136
15,0,7,15.220772450779261,1,0,0.43610822135212574,1,1.0,0.5680541106760628
16,0,7,13.134491407033694,1,0,0.3767458556749304,1,1.0,0.5383729278374652
17,0,7,12.609005561843889,1,0,0.3491754365342641,1,1.0,0.5245877182671321
18,0,7,10.172929029330003,1,0,0.3325860662414778,1,1.0,0.5162930331207389
19,0,7,6.530992187059628,1,0,0.30963716757042364,1,1.0,0.5553004421637331
20,0,7,8.73068453367429,1,0,0.24831798290138818,1,1.0,0.5452828401682982
21,0,7,6.881850933907103,1,0,0.3803075984286356,0,1.0,0.6901537992143179
22,0,7,3.880332697731083,1,0,0.22640414205667597,0,1.0,0.7665025887854224
23,0,7,4.861391125412171,1,0,0.20961826722979868,0,1.0,0.7560114170186241
0,1,8,3.224358450729203,1,0,0.2,0,1.0,0.8100000000000002
1,1,8,3.836203001598118,1,0,0.2,0,1.0,0.8100000000000002
2,1,8,1.0,1,0,0.24079026120704763,0,1.0,0.8375334263147571
3,1,8,2.6998597871961936,1,0,0.24537772922829734,0,1.0,0.8406299672291007
4,1,8,9.327962377316718,0,0,0.5894903035608932,0,1.0,1.0729059549036029
5,1,8,8.80046749189619,0,0,0.5354481750609579,0,1.0,0.9596551094130987
6,1,8,11.504870656276324,0,0,0.5122050406767888,1,1.0,0.7576281504229931
7,1,8,13.388599552174556,0,0,0.6878749530389436,1,1.0,0.7633312241714192
8,1,8,13.134120756552011,0,0,0.7051714766174476,1,1.0,0.7025857383087237
9,1,8,15.24416655918758,0,0,1.0,1,1.0,0.8500000000000001
10,1,8,13.015936310767657,0,0,0.844103995221654,2,1.0,0.622051997610827
11,1,8,15.832218544530217,0,0,0.9272614883787252,2,1.0,0.6636307441893626
12,1,8,16.808483076736938,0,0,0.729524046093476,2,1.0,0.5647620230467381
13,1,8,15.608823003899658,0,0,1.0,2,1.0,0.7
14,1,8,17.889614954768366,0,0,0.3875884870667228,2,1.0,0.3937942435333614
15,1,8,11.466485583911908,1,0,0.25329222482063213,1,1.0,0.47664611241031607
16,1,8,8.94010098139471,1,0,0.39244552497214863,1,1.0,0.5462227624860743
17,1,8,10.520790782793027,1,0,0.5581705582267076,1,1.0,0.6290852791133539
18,1,8,7.779118217663672,1,0,0.32440452504025674,1,1.0,0.5122022625201283
19,1,8,3.082577837468585,1,0,0.2458509483146324,1,1.0,0.5202180215730479
20,1,8,5.122919582815545,1,0,0.4261494873777281,0,1.0,0.8200359552421935
21,1,8,2.517301938808431,1,0,0.27905387265667536,0,1.0,0.6395269363283377
22,1,8,1.8714816449730565,1,0,0.33956720766736476,0,1.0,0.837229504792103
23,1,8,1.0,1,0,0.2,0,1.0,0.7500000000000001
0,2,9,3.6950378844202962,1,0,0.26118616474139184,0,1.0,0.8513006612004397
1,2,9,6.689348252278724,0,0,0.28069164815671527,0,1.0,0.864466862505783
2,2,9,7.958769749455316,0,0,0.41754601868605024,0,1.0,0.956843562613084
3,2,9,4.26000046339822,1,0,0.22214821718399957,0,1.0,0.8249500465991997
4,2,9,5.426314284689339,1,0,0.2345189102525575,0,1.0,0.8333002644204762
5,2,9,7.268796563151327,1,0,0.3424336360044032,0,1.0,0.8390210225027519
6,2,9,10.17152383352726,1,0,0.2,0,1.0,0.7500000000000001
7,2,9,10.491166338014114,1,0,0.39784339747913017,0,1.0,0.7688138686135215
8,2,9,13.318510912171952,1,0,0.49637806883803565,0,1.0,0.7481890344190179
9,2,9,15.375672974768712,0,0,0.8455151510473045,1,1.0,0.7727575755236522
10,2,9,18.129487414842977,0,0,0.6031850943927797,2,1.0,0.5015925471963898
11,2,9,19.468992251390915,0,0,1.0,2,1.0,0.7
12,2,9,19.366111954906962,0,0,0.675783255438429,2,1.0,0.5378916277192145
13,2,9,14.373616931355032,1,0,0.3208262508800832,1,1.0,0.5104131254400417
14,2,9,13.281222830465408,1,0,0.27159266875168625,1,1.0,0.48579633437584313
15,2,9,12.806444762189324,1,0,0.33570696878396544,1,1.0,0.5178534843919826
16,2,9,12.574038444684557,1,0,0.3682777505969271,1,1.0,0.5341388752984635
17,2,9,12.377562882379634,1,0,0.26659462794091865,1,1.0,0.48329731397045933
18,2,9,13.442135573136976,0,0,0.5000059999002703,1,1.0,0.6000029999501351
19,2,9,10.839296221296152,0,0,0.5601371103095671,1,1.0,0.693075410670262
20,2,9,10.984719962605183,0,0,0.5177046311525555,1,1.0,0.7001801629127193
21,2,9,9.149778920929256,0,0,0.5692722576283918,1,1.0,0.634636128814196
22,2,9,8.701829783304259,0,0,0.6135657683152996,0,1.0,1.0084786051970624
23,2,9,5.81825041715525,0,1,0.41637119434447,0,1.0,0.8852319964652938
0,3,10,1.6641399203332385,0,1,0.2915807864994298,0,1.0,0.8718170308871152
1,3,10,3.081463513763026,0,1,0.3882908130226716,0,1.0,0.9370962987903033
2,3,10,4.464843464523321,0,1,0.30484988263664003,0,1.0,0.8807736707797321
3,3,10,5.749644205536453,0,1,0.36550167517671356,0,1.0,0.9217136307442818
4,3,10,5.420724211140714,0,1,0.27641148086893186,0,1.0,0.861577749586529
5,3,10,9.637577727068733,0,0,0.6546692279046458,0,1.0,1.0341682674404034
6,3,10,12.3508295101635,0,0,0.4733341513989364,0,1.0,0.9208338446243353
7,3,10,8.63432321485052,1,0,0.4136481387802345,0,1.0,0.7775064763291292
8,3,10,12.390093514986457,1,0,0.2513833167183125,0,1.0,0.6256916583591563
9,3,10,12.615455084615856,1,0,0.42394051683265066,1,1.0,0.5619702584163253
10,3,10,13.86832183099559,1,0,0.31137649993098115,1,1.0,0.5056882499654907
11,3,10,14.469587586053697,1,0,0.4998435135730508,1,1.0,0.5999217567865254
12,3,10,15.57956907131842,1,0,0.47491516626256725,1,1.0,0.5874575831312836
13,3,10,15.339809300181226,1,0,0.34763452421099117,2,1.0,0.3738172621054956
14,3,10,17.574795844236036,0,0,1.0,2,1.0,0.7
15,3,10,10.513664363011987,1,0,0.32099852961065595,1,1.0,0.5104992648053279
16,3,10,10.137152369141873,1,0,0.21035677292070296,1,1.0,0.45517838646035147
17,3,10,8.959552337962647,1,0,0.3052874803405688,1,1.0,0.5026437401702843
18,3,10,6.4399150043129,1,0,0.2460203596054063,1,1.0,0.47301017980270316
19,3,10,7.389547704880277,1,0,0.35940591807102734,1,1.0,0.5826732549390651
20,3,10,4.328222210547614,1,0,0.20771245771708838,0,1.0,0.6944346631873257
21,3,10,3.5763964205770957,1,0,0.2159009120639265,0,1.0,0.6079504560319633
22,3,10,1.686462340825308,1,0,0.26718716108239915,0,1.0,0.7919919756764995
23,3,10,4.179153013523248,1,0,0.2566203651490605,0,1.0,0.7853877282181629
0,4,11,1.0,1,0,0.2,0,1.0,0.8100000000000002
1,4,11,4.0587969223373435,0,0,0.39742754874167313,0,1.0,0.9432635954006293
2,4,11,7.030498943652922,0,0,0.3901114955395592,0,1.0,0.9383252594892025
3,4,11,4.372681191464096,1,0,0.2,0,1.0,0.8100000000000002
4,4,11,4.501182877464743,1,0,0.2,0,1.0,0.8100000000000002
5,4,11,7.7379054265887905,1,0,0.2896804088910176,0,1.0,0.806050255556886
6,4,11,8.46337605823918,1,0,0.2515552798582473,0,1.0,0.7822220499114046
7,4,11,9.18264570681151,1,0,0.40209480136682896,0,1.0,0.771152140751756
8,4,11,14.144345051053213,0,0,0.6303229309196274,1,1.0,0.6651614654598137
9,4,11,14.63401946846666,0,0,0.98727719834978,1,1.0,0.84363859917489
10,4,11,17.23981264898387,0,0,0.30363724441343215,2,1.0,0.3518186222067161
11,4,11,16.717038069091757,0,0,0.8230613962041968,2,1.0,0.6115306981020985
12,4,11,13.455631540703182,1,0,0.5074715655241329,1,1.0,0.6037357827620664
13,4,11,12.966934352596153,1,0,0.5212472031702194,2,1.0,0.46062360158510973
14,4,11,14.343998127827088,1,0,0.317812397729187,1,1.0,0.5089061988645935
15,4,11,10.142948741195283,1,0,0.2286660831442146,2,1.0,0.3143330415721073
16,4,11,10.35423550336764,1,0,0.4480080425906132,1,1.0,0.5740040212953066
17,4,11,12.865141974966525,0,0,0.7253930599566433,2,1.0,0.5626965299783216
18,4,11,11.31350706396821,0,0,0.6180628689940425,1,1.0,0.6590314344970212
19,4,11,9.008683046873234,0,0,0.5039346323969649,1,1.0,0.6621640478183307
20,4,11,7.597502187241166,0,0,0.44841159705403283,1,1.0,0.6603366683060687
21,4,11,5.732873768160424,0,1,0.42854376184025106,0,1.0,0.7142718809201256
22,4,11,2.073061109459045,0,1,0.3943937842519099,0,1.0,0.8714961151574439
23,4,11,2.7893491595498823,0,1,0.3559391597687792,0,1.0,0.847461974855487
0,5,12,3.525543192131304,0,1,0.2149881126853221,0,1.0,0.8201169760625925
1,5,12,4.078525572332811,0,1,0.2,0,1.0,0.8100000000000002
2,5,12,6.168846623250002,0,1,0.2,0,1.0,0.8100000000000002
3,5,12,9.716640072962335,0,0,0.36186208939897596,0,1.0,0.9192569103443089
4,5,12,10.341584166334089,0,0,0.3167599963392058,0,1.0,0.888812997528964
5,5,12,10.771071742553517,0,0,0.2875997361329428,0,1.0,0.8047498350830893
6,5,12,12.46490833522938,0,0,0.5676810275710698,0,1.0,0.9798006422319185
7,5,12,13.034309449109383,0,0,0.33390068677889123,1,1.0,0.5686453777283902
8,5,12,15.46541140713968,0,0,0.6071399042789308,1,1.0,0.6535699521394653
9,5,12,16.437906591331217,0,0,0.6419677425738943,2,1.0,0.5209838712869472
10,5,12,18.00279552617679,0,0,0.6278263574366085,2,1.0,0.5139131787183042
11,5,12,17.452248557314157,0,0,0.8222240604870804,2,1.0,0.6111120302435402
12,5,12,19.00327105737324,0,0,0.5150106479028597,2,1.0,0.45750532395142984
13,5,12,19.812218413869058,0,0,0.9055960522094163,2,1.0,0.6527980261047082
14,5,12,17.571316817381845,0,0,0.693731443924554,2,1.0,0.546865721962277
15,5,12,15.002384732019392,1,0,0.5335321729328579,1,1.0,0.616766086466429
16,5,12,13.083132458084835,1,0,0.29862466325304643,1,1.0,0.4993123316265232
17,5,12,11.33983565113555,1,0,0.28577148924356466,1,1.0,0.4928857446217823
18,5,12,10.358583475922474,1,0,0.39577299173066005,1,1.0,0.54788649586533
19,5,12,10.943602673298738,0,0,0.6813888740839823,1,1.0,0.7597638807461904
20,5,12,9.5816006416809,0,0,0.5859709992758291,1,1.0,0.7394333245836017
21,5,12,7.468274072157318,0,0,0.5491942514073019,1,1.0,0.6245971257036509
22,5,12,7.312282294684381,0,0,0.9708458828535563,0,1.0,1.2317786767834726
23,5,12,7.186367876643107,0,0,0.3953332072798089,0,1.0,0.8720832545498804
0,6,13,1.0,1,0,0.2,0,1.0,0.8100000000000002
1,6,13,1.0,1,0,0.23171322098583824,0,1.0,0.8314064241654407
2,6,13,1.5405585224250662,1,0,0.23387031203544534,0,1.0,0.8328624606239258
3,6,13,1.0,1,0,0.2,0,1.0,0.8100000000000002
4,6,13,2.267447324794528,1,0,0.2,0,1.0,0.8100000000000002
5,6,13,4.358786233939081,1,0,0.2,0,1.0,0.7500000000000001
6,6,13,7.846984346544197,1,0,0.2,0,1.0,0.7500000000000001
7,6,13,4.281747746565634,1,0,0.244306845012403,0,1.0,0.6843687647568217
8,6,13,6.658660723311287,1,0,0.2424512725913691,0,1.0,0.6212256362956845
9,6,13,7.206874053666598,1,0,0.38714171496439465,0,1.0,0.6935708574821973
10,6,13,8.131056675121604,1,0,0.2299080515505291,1,1.0,0.46495402577526457
11,6,13,13.443239446738053,0,0,0.7254019373196919,2,1.0,0.562700968659846
12,6,13,13.414306849130705,0,0,0.937755671021844,2,1.0,0.668877835510922
13,6,13,14.119388254895021,0,0,0.7406988247084401,2,1.0,0.5703494123542201
14,6,13,13.711347909168195,0,0,0.3477176304696661,2,1.0,0.37385881523483305
15,6,13,14.292251037019573,0,0,0.5645551671725021,2,1.0,0.48227758358625106
16,6,13,12.123863348870454,0,0,0.9229311591088271,2,1.0,0.6614655795544135
17,6,13,9.149450125637127,0,0,0.6907928558783916,2,1.0,0.5453964279391958
18,6,13,7.275024839336045,0,0,0.8210087905864993,2,1.0,0.6105043952932496
19,6,13,7.112444411575786,0,0,0.6878972644173281,1,1.0,0.7633434954295306
20,6,13,3.8532063036637636,0,0,0.5985516380630045,1,1.0,0.7466671918862275
21,6,13,3.5334575745568273,0,1,0.24282468253678255,0,1.0,0.6214123412683913
22,6,13,2.1094003765898393,0,1,0.5280951394124533,0,1.0,0.9550594621327833
23,6,13,1.0,0,1,0.4282827620397019,0,1.0,0.8926767262748136
0,0,14,1.0,0,1,0.2,0,1.0,0.8100000000000002
